style-scope src,style-scope,yt-simple-endpoint href,yt-simple-endpoint,yt-simple-endpoint href 3,yt-core-attributed-string,yt-core-attributed-string__link,yt-core-attributed-string__link href,style-scope 3,yt-core-attributed-string 3
https://yt3.ggpht.com/HCv0fXFEEcD0HRyF0_qR1K7b7qO3KCzmIoyH1DEJYB94CIUFhIE5i2t2IDIPX97W1-DK4hegww=s88-c-k-c0x00ffffff-no-rj,Pinned by @programmingwithmosh,https://www.youtube.com/@programmingwithmosh,8 months ago (edited),https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgzzeUmml8Z-Ev0IjSN4AaABAg,"Want to master Python? Get my Python mastery course: 
Get my FREE Python cheat sheet: 
Python Projects for Beginners: 
Subscribe for more Python tutorials like this:",https://mosh.link/python-course,https://www.youtube.com/redirect?event=comments&redir_token=QUFFLUhqbUc2UXR2SFlJQUFfNllFTWl4MXdNQmt1NDJRQXxBQ3Jtc0ttMXR5ZVUtdEZqNG5Yb3A0eFBkeHhSRVhVRWswUEJUS3NBNHhfNWNaN29UWDdTNDY3LXczWXR2UGM3dnJQWHR0YzZQOXg3emowNm1iUklIaElvRjB3SHkyUkxqWS1leWVNZEkyNS15dG5jbnhFVDRWRQ&q=https%3A%2F%2Fmosh.link%2Fpython-course,484,64 replies
https://yt3.ggpht.com/quF9jYSiDorWlcZewbQVW6CcUxDMxQb9dVfjSvc5TbXquB-vJND1XeQ2FG5u_MT2KXs_ZhiDbHQ=s88-c-k-c0x00ffffff-no-rj,@AVoiDes,https://www.youtube.com/@AVoiDes,1 year ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgyoOGnafPL2d_k2nv54AaABAg,"Introduction
 Installing Python 3
 Your First Python Program
 How Python Code Gets Executed 
 How Long It Takes To Learn Python 
 Variables
 Receiving Input
 Python Cheat Sheet
 Type Conversion
 Strings
 Formatted Strings
 String Methods
 Arithmetic Operations
 Operator Precedence
 Math Functions
 If Statements
 Logical Operators
 Comparison Operators
 Weight Converter Program 
 While Loops
 Building a Guessing Game
 Building the Car Game
 For Loops
 Nested Loops
 Lists
 2D Lists
 My Complete Python Course 
 List Methods
 Tuples
 Unpacking
 Dictionaries
 Emoji Converter
 Functions
 Parameters
 Keyword Arguments 
 Return Statement
 Creating a Reusable Function 
 Exceptions
 Comments
 Classes
 Constructors
 Inheritance
 Modules
 Packages
 Generating Random Values
 Working with Directories 
 Pypi and Pip
 Project 1: Automation with Python
 Project 2: Machine Learning with Python 
 Project 3: Building a Website with Django
:)",00:00:00,https://www.youtube.com/watch?v=_uQrJ0TkZlc,153,4 replies
https://yt3.ggpht.com/uU5XGvlDklwofkJU1QqalujJa9a-Ssc51IxG-N3YtvQbS-WUG-WSUrRqpWy-uwhy-NDEy0WSjQ=s88-c-k-c0x00ffffff-no-rj,@ErickandAnimals,https://www.youtube.com/@ErickandAnimals,1 year ago (edited),https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgzKt0jSsKbApjPOKs54AaABAg,"Day 1 - 
Day 2 - 
Day 3 -  
Day 4 -  
Day 5 - 
Day 6 - 
Day 7 - 
Done now!",01:06:36,https://www.youtube.com/watch?v=_uQrJ0TkZlc&t=3996s,318,15 replies
https://yt3.ggpht.com/ytc/AIdro_mmLgJ9OjnyBP103W8otZDPcDw_vOAwuH8KoupjtlmGMTA=s88-c-k-c0x00ffffff-no-rj,@adrianhaxhiu4388,https://www.youtube.com/@adrianhaxhiu4388,4 years ago (edited),https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgyCOYiSsMZ-K9Rvu914AaABAg,"Trying to learn python online since online lessons are making it hard , gonna come back here everyday and update the time stamp of where I am in the vid .
Day 1 : 
Day 2 : 
Day 3 :  ( Didn't cover as much from the video but did some revision of what was already done to better                             understand what is going on )
Day 4 :  ( Loops are lowkey confusing so will spend some time doing a few exercises online  )
Day 5 :  ( I'm trying to find some exercises online to practice the knowledge because I struggle with the                                                                                    exercises Mosh is giving us even though I have the necessary information to solve them )
Day 6 :  ( Tomorrow I'm only gonna try different exercises in Python so I can improve my ability to code so I won't be advancing any minutes in the video )
Day 7:  (Ok now its getting in way deeper waters , its a bit harder to keep up lmao , constructers  and classes are kinda hard )
Break: I havent been able to continue the course daily as ive had a lot of school work to do and continuing this course has been hard but I will start again during this weekend as holiday season start for me.",48:40:00,https://www.youtube.com/watch?v=_uQrJ0TkZlc&t=2920s,41,8 replies
https://yt3.ggpht.com/GGlFqFw0T6pZkfgu2fIgdniG9vcaWtvQbet0F4_ceNtYrLcpqs4uGpfYseQT4IBkfeVP7vbAU34=s88-c-k-c0x00ffffff-no-rj,@kilovolt2494,https://www.youtube.com/@kilovolt2494,2 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgzT0cYH4EVvdEure6B4AaABAg,"After 2.5 years, I am returning here to say that I’ve just accepted a job offer for a good salary, and my IT journey started here, from this video, in November of 2019. This was my first source of information, when I got back from work (being a cable tech), and typed “Python full course” or something along those lines. 

Of course, back then, a lot of concepts like classes and inheritance meant nothing to me, and this video perhaps wasn’t the most beginner friendly. However, I was so sick of my job and I absolutely saw no growth in doing cable, where the salary cap for a technician was probably IT jobs base pay for the most part, so I decided to Google every single thing I don’t understand. 

And I successfully changed careers.",,,5K,99 replies
,@harryhunter1540,https://www.youtube.com/@harryhunter1540,4 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgwQbbIzbQWJop2N4p14AaABAg,"this guy, sat for 6 hours and talked about python, and then released it for free. legend",,,14K,119 replies
,@ArthurMorgan-jg3cj,https://www.youtube.com/@ArthurMorgan-jg3cj,3 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgwXdo1J7Uc8ZDq4cwl4AaABAg,If u ever feel useless in life just remember there are idiotic fools that dislike a 6 hour video of a man teaching how to use python for absolutley free,,,21K,171 replies
,@Hagu-maru,https://www.youtube.com/@Hagu-maru,8 days ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgwHNA59OhQ8n4wARuZ4AaABAg,"timestamp code:

temp = int(input(""Enter the temperature: ""))

if (temp > 30):
    print(""It's a hot day"")

elif (temp < 10):
    print(""It's a cold day"")

else:
    print(""It's neither hot nor cold"")",01:11:38,https://www.youtube.com/watch?v=_uQrJ0TkZlc&t=4298s,,5 replies
,@technomaestro6092,https://www.youtube.com/@technomaestro6092,3 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgxitmhK6b0xNeRvJzR4AaABAg,This course has literally changed my life. 2 years ago i started learning python from this course and now i am a software engineer intern at a great startup. Thanks Mosh️,,,4.7K,63 replies
,,https://www.youtube.com/@programmingwithmosh,10 months ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugw3FYAZ-bY5LF8vehJ4AaABAg&pp=0gcJCSMANpG00pGi,"Guys, I'm so sorry! I just realized the link to download the spreadsheet was broken. I just fixed it. Thanks for your patience!",,,1.2K,45 replies
,@IceTeaCrackHead,https://www.youtube.com/@IceTeaCrackHead,2 years ago (edited),https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgxogzplfCU4wwPf3e94AaABAg,"I've known this man only for 6 hours, but I feel like I owe him 6 decades of gratitude. Thankyou for this awesome tutorial!",,,1.2K,5 replies
,@delandngong4165,https://www.youtube.com/@delandngong4165,1 month ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugw1LtaKcmv_l53sD4x4AaABAg&pp=0gcJCSMANpG00pGi,"To anyone who just started watching, i just finished it and it is worth it. Don't give up.",,,151,1 reply
,@freecodecamp,https://www.youtube.com/@freecodecamp,6 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgxAGHE9XCBSGib1Dd54AaABAg,"Wow, this looks like a great course!",,,13K,185 replies
,@almerinobuce7878,https://www.youtube.com/@almerinobuce7878,8 months ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgzSqZK9YwksHW0R_TV4AaABAg,"The Year is 2024, and i just finished the tutorial, it is real awesome and a huge start for python world.
Thanks Mosh and congratulations",,,255,3 replies
,@shamsadjahan5566,https://www.youtube.com/@shamsadjahan5566,4 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgxvgFUFacwB6PJ3EgR4AaABAg,"Honestly, this guy is incredible. He explains everything soo precisely and efficiently without any unnecessary information. Thanks a lot for this video. You made my life easier.",,,294,2 replies
,@InfinityInspire50,https://www.youtube.com/@InfinityInspire50,2 months ago (edited),https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgxpxrLGRp_LhsCmZo14AaABAg,"Introduction
 Installing Python 3
 Your First Python Program
 How Python Code Gets Executed 
 How Long It Takes To Learn Python 
 Variables
 Receiving Input
 Python Cheat Sheet
 Type Conversion
 Strings
 Formatted Strings
 String Methods
 Arithmetic Operations
 Operator Precedence
 Math Functions
 If Statements
 Logical Operators
 Comparison Operators
 Weight Converter Program 
 While Loops
 Building a Guessing Game
 Building the Car Game
 For Loops
 Nested Loops
 Building a Guessing Game
 Building the Car Game
 For Loops
 Nested Loops
 Lists
 2D Lists
 My Complete Python Course 
 List Methods
 Tuples
 Unpacking
 Dictionaries
 Emoji Converter
 Functions
 Parameters
 Keyword Arguments 
 Return Statement
 Creating a Reusable Function 
 Exceptions
 Comments
 Classes
 Constructors
 Inheritance
 Modules
 Packages
 Generating Random Values
 Working with Directories 
 Pypi and Pip
 Project 1: Automation with Python
 Project 2: Machine Learning with Python 
 Project 3: Building a Website with Django",00:00:00,https://www.youtube.com/watch?v=_uQrJ0TkZlc,31,
,@dangit5640,https://www.youtube.com/@dangit5640,3 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugwj1YZ6GClhS8hnaxx4AaABAg,he did all this hard work and sent it to the internet for free. and he doesn't get too much but what he gets is RESPECT and credit for bringing new aspiring programmers to earth,,,849,11 replies
,@johnnhaas,https://www.youtube.com/@johnnhaas,4 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgwaD-JiRRJDW4F5vL94AaABAg,"I am 89 years old,  and have been a retired backend developer for about 15 years.  I'm bored out of my mind, so I thought I could learn something new. I had expert level skills with SQL Server Reporting Services (SSRS), SQL, T-SQL and PL/SQL, Stored Procedures and Packages. I was an expert in ETL as well as DTS.  If I can work from home, it should remove the overwhelming stigma of age bias.  We'll see how it goes.",,,1.3K,90 replies
,@cman3893,https://www.youtube.com/@cman3893,4 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugx_y7hrGpK4ZTgsa754AaABAg,"To find this whole course freely available on YouTube is such a gift. Seriously, you cover a LOT of ground. Thank you for all your hard work on this!",,,145,1 reply
,@osmanparlakx,https://www.youtube.com/@osmanparlakx,1 month ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugyvut8Lz5CDFVN95_J4AaABAg,"numbers = [5,2,5,2,2]
for a in numbers:
    print(""x"" * a)",01:55:19,https://www.youtube.com/watch?v=_uQrJ0TkZlc&t=6919s,,
